order_id,product_name,category,quantity,unit_price,order_date
ORD00001,Bananas,Produce,1,1.79,2025-11-30
ORD00001,Diapers,Baby,1,19.99,2025-11-30
ORD00002,Salsa,Mexican,1,3.49,2025-08-24
ORD00002,Sour Cream,Dairy,1,2.29,2025-08-24
ORD00002,Shredded Cheese,Dairy,1,4.29,2025-08-24
ORD00002,Tortillas,Mexican,1,2.99,2025-08-24
ORD00002,Ground Beef,Meat,1,6.49,2025-08-24
ORD00003,Creamer,Breakfast,1,3.29,2025-09-13
ORD00003,Eggs,Breakfast,1,3.49,2025-09-13
ORD00003,Burger Buns,Bakery,1,2.79,2025-09-13
ORD00003,Milk,Breakfast,1,3.19,2025-09-13
ORD00003,Coffee Filters,Breakfast,1,2.49,2025-09-13
ORD00003,Coffee Beans,Beverages,1,8.99,2025-09-13
ORD00003,Potato Chips,Snacks,1,3.99,2025-09-13
ORD00004, Parmesan Cheese ,Pasta,1,4.99,2025-05-15
ORD00004,Spaghetti,Pasta,1,1.79,2025-05-15
ORD00004,Marinara Sauce,Pasta,1,3.49,2025-05-15
ORD00004,Coffee Beans,Beverages,2,8.99,2025-05-15
ORD00004,Garlic Bread,Pasta,1,3.29,2025-05-15
ORD00005,toilet paper,Personal Care,2,8.99,2025-06-13
ORD00006,Paper Towels,Cleaning,1,5.49,2025-01-10
ORD00006,Laundry Detergent,Cleaning,1,8.99,2025-01-10
ORD00006,Trash Bags,Cleaning,1,6.49,2025-01-10
ORD00006,Marinara Sauce,Pasta,1,3.49,2025-01-10
ORD00007,Bananas,Produce,2,1.79,2025-08-11
ORD00007,Tomatoes,Produce,2,2.99,2025-08-11
ORD00007,Lettuce,Produce,1,2.29,2025-08-11
ORD00008,Ketchup,Condiments,1,2.99,2025-04-18
ORD00008,Salsa,Mexican,1,3.49,2025-04-18
ORD00008,Burger Buns,Bakery,1,2.79,2025-04-18
ORD00008,Mustard,Condiments,1,2.29,2025-04-18
ORD00008,Potato Chips,Snacks,1,3.99,2025-04-18
ORD00008,Ground Beef,Meat,2,6.49,2025-04-18
ORD00009,Salsa,Mexican,1,3.49,2025-09-18
ORD00009,Lime,Produce,1,0.59,2025-09-18
ORD00009,Sour Cream,Dairy,1,2.29,2025-09-18
ORD00009,Shredded Cheese,Dairy,1,4.29,2025-09-18
ORD00009,Tortillas,Mexican,2,2.99,2025-09-18
ORD00010,Avocado,Produce,1,1.29,2025-04-11
ORD00010,Charcoal,Outdoor,2,7.99,2025-04-11
ORD00010,Bananas,Produce,1,1.79,2025-04-11
ORD00010,Apples,Produce,1,3.99,2025-04-11
ORD00010,Lettuce,Produce,2,2.29,2025-04-11
ORD00011,Butter,Breakfast,1,3.79,2025-01-24
ORD00011,Eggs,Breakfast,1,3.49,2025-01-24
ORD00011,Orange Juice,Beverages,2,4.49,2025-01-24
ORD00012,Apples,Produce,2,3.99,2025-11-14
ORD00012,Soda,Beverages,2,4.99,2025-11-14
ORD00012,Lettuce,Produce,2,2.29,2025-11-14
ORD00013,Bananas,Produce,1,1.79,2025-02-09
ORD00013,Avocado,Produce,2,1.29,2025-02-09
ORD00013,Tomatoes,Produce,2,2.99,2025-02-09
ORD00014,tortillas,Mexican,1,2.99,2025-09-24
ORD00014,Salsa,Mexican,2,3.49,2025-09-24
ORD00014,Shredded Cheese,Dairy,1,4.29,2025-09-24
ORD00014,Ground Beef,Meat,1,6.49,2025-09-24
ORD00015,Marinara Sauce,Pasta,1,3.49,2025-12-22
